Phase,Avg_PSNR,StdDev_PSNR,Avg_MAE,StdDev_MAE,Avg_SSIM,StdDev_SSIM
1,28.61874344417948,12.436334266017827,55.13912896728515,21.297542171679492,0.7794998217260337,0.10892938393700327
10,28.592089867745454,12.43728222803789,56.7467001620206,21.825724787701777,0.7801403331444792,0.1090503034621642
11,28.612061349164755,12.430903393830834,56.86582453502308,21.926486764547697,0.7808198291144381,0.10864942416757291
12,28.63541559939873,12.418670829162387,56.89814323841442,21.98069071609577,0.7809627281959017,0.10846703277354947
13,28.64654326037966,12.412047176430628,56.70129557661576,21.839320764714678,0.7813065974123431,0.10828092356617525
14,28.644837322706458,12.412926416863748,56.56306844260476,21.866847434888378,0.7812673446106199,0.108209365459691
15,28.64812351769043,12.413503300307152,56.53655750621449,21.822924651968577,0.7811076218817189,0.10838248708793875
2,28.604454542979553,12.427675143296385,56.43972839910334,21.728694914604155,0.7799943352873886,0.10881137170510295
3,28.595852348728858,12.427638630521711,56.2960220003995,21.628540852494346,0.7798751971737382,0.10868149734056802
4,28.618149252142324,12.416689943134323,56.397582658247515,21.6761650115723,0.7801114540732462,0.10861573928937554
5,28.632855306716994,12.412184576332656,56.44639299982245,21.752741973346286,0.7801924478492925,0.10862770482342365
6,28.637988133264397,12.412207914740069,56.61349797474254,21.860637552192415,0.780784803922148,0.10847281114281337
7,28.63825449962033,12.417155402754169,56.72818981933593,21.915383830143462,0.7805073542106884,0.10855185795019302
8,28.640275207536128,12.41403546554926,56.97173550137607,22.07480373493846,0.7802057240323553,0.10848208636773064
9,28.60561642154919,12.429279026865652,56.83114509721236,21.955630553933222,0.7799549616950062,0.10874937779380162
