Subject,Avg_PSNR,StdDev_PSNR,Avg_MAE,StdDev_MAE,Avg_SSIM,StdDev_SSIM
TOW143,22.013567693483584,1.4872229791842162,55.81007022372159,4.105787567710224,0.679308397182574,0.024082929595287114
TOW144,22.401465650835846,1.6491848812220888,64.37932913855352,7.837644088701608,0.6941790739605722,0.03734466442232564
TOW146,24.14129090283977,1.6166337780543285,77.218462890625,4.939000858132251,0.7699824583747596,0.020376433491195257
TOW201,32.224307677759775,15.697633508955466,61.60359718276516,29.68358867179602,0.8278447741498829,0.08791161270054428
TOW213,24.889333805991722,1.2058008130637292,42.341663544625945,5.334835661260605,0.7707443815723986,0.028472231319384363
TOW216,30.534331719948828,16.5562873726954,54.461693869850855,26.494247707744293,0.7994978604861087,0.10258437777317898
TOW218,32.86993260468281,15.408724172166623,57.82161182380446,27.88266070052456,0.8310529386711837,0.08704714593079521
TOW224,34.200836875590895,14.708280368776144,75.86878284801136,36.815520108568016,0.8609738980218538,0.07274523194020575
TOW239,21.44701925570441,2.2262393945241903,76.00531810783617,6.574968758350398,0.6962732428594997,0.023296338713196734
TOW246,26.575672571955874,1.522532866304207,52.71534032463305,6.4402477881772064,0.8121641440841271,0.016555948248626082
TOW247,20.466922449814245,2.0768375161267714,70.80121233575994,4.890890748321744,0.6104626727219362,0.03960621525156652
TOW248,31.63147081149703,16.086967829645516,55.0757723869555,26.46195468391176,0.8281003776466942,0.08931472037431482
TOW251,32.74023151691622,15.440600135314952,50.60542632871685,24.461353473509703,0.8311734302743597,0.08727652898865654
TOW254,33.095272325362906,15.257466144880656,48.90190696022727,23.461103239184222,0.8272960218808383,0.09077172575907107
TOW257,31.17124750436242,16.252605049118085,62.008601821437026,29.822903345481887,0.8135327533125447,0.0955112016757254
TOW259,33.82147093549713,14.885142298283457,47.40146992631392,22.78201649381728,0.8588414705810836,0.0725379902750947
TOW_VOL12,30.703083883532,16.53484770053397,13.159120775627368,5.809850312579284,0.621402944833882,0.19252869240167314
TOW_VOL13,32.98243579565902,15.319550085999795,58.03366080729167,27.844276302926026,0.8500379830219489,0.07721321496751724
TOW_VOL14,24.75542230734116,1.0526786204587244,75.84628274443656,5.439514567042942,0.7725454772369001,0.0175010298145003
TOW_VOL15,28.98631036530777,17.33390741504846,58.61568922378078,28.4463612426995,0.7657356302911058,0.11961247330245385
