Subject,Avg_PSNR,StdDev_PSNR,Avg_MAE,StdDev_MAE,Avg_SSIM,StdDev_SSIM
TOW143,21.938673191002213,1.3503878240079796,53.92216116240531,3.0804297768954183,0.6807859146551398,0.025795101493655218
TOW144,22.304341902310433,1.7358635390100847,65.04812755977747,6.567876742362199,0.6895764698200284,0.034699981476594394
TOW146,23.692593047353803,1.7587670986269823,76.78204907966382,5.603955814679618,0.7708987598539514,0.021064991544214293
TOW201,32.13760658073125,16.22873630526498,60.39072071792141,28.694772259664177,0.8297060874486049,0.08726312753172774
TOW213,24.88983483418803,1.1389124869998049,48.3886405806108,4.130502646399133,0.780891367540637,0.03104746298968244
TOW216,30.86754194348049,16.87143387289136,57.30325358812737,27.591707209054437,0.8028400070412757,0.10138472490520166
TOW218,32.80233800993339,15.920965931153905,61.429361838600855,29.84075715501564,0.8261430179788259,0.09064793328424847
TOW224,33.34482917333285,15.568453774862146,75.28122016305633,36.2969907867631,0.8539510271150089,0.07592750404301737
TOW239,21.746582792640215,2.2332902364564333,80.38711483487215,5.816765930989181,0.6989048542744719,0.022901217261781515
TOW246,25.937507001012875,1.640912425757503,57.84658075875947,5.13434196005552,0.8097746135570618,0.016649635444635387
TOW247,19.978124378939565,1.9969065831383972,70.58416672585227,4.372862735559112,0.6118461338850967,0.037610188574707784
TOW248,31.674630849415102,16.473562169293558,55.43913310842803,26.313579687206555,0.825368759922024,0.09072478382380796
TOW251,32.73348249967603,15.915750565967343,48.79889722419508,23.307146147843376,0.8356130802885032,0.08548264944030227
TOW254,33.18988167249643,15.667558682225332,47.36209061316288,22.37358635153648,0.8335433202903803,0.08727808271174207
TOW257,31.231729406702907,16.7014050442033,62.79410123697916,30.040429680765307,0.8143649860548314,0.09512247936852479
TOW259,33.78576672995601,15.39555974244405,49.08726822916667,23.215525058885834,0.8568266812582789,0.07475547971505615
TOW_VOL12,30.904963091272595,16.879904891517402,14.542632050485322,6.277582347512946,0.6262226218483065,0.1902519677753739
TOW_VOL13,33.43257732900142,15.559288584363568,57.225756059126425,27.436594697464724,0.8527699817946968,0.07666084848310838
TOW_VOL14,24.27936928491467,0.8977290172811063,78.41201478900332,3.366395600910256,0.7682965339658685,0.01648668962780376
TOW_VOL15,29.365298874989932,17.591312546912995,58.00754650508997,27.93682299580207,0.7662335116008981,0.11978329358081305
