Subject,Avg_PSNR,StdDev_PSNR,Avg_MAE,StdDev_MAE,Avg_SSIM,StdDev_SSIM
TOW143,21.77622039991742,1.5076506072286304,54.66087926876184,5.618950705769172,0.6770303233131758,0.03243705141439538
TOW144,22.21615427522824,1.7991010671985601,69.61672932942709,7.5876554743409255,0.6855124317669947,0.04003718808280812
TOW146,24.63644744391613,1.6520961843770479,73.32018446673769,3.7245379900559428,0.786397660218633,0.022090919505704337
TOW201,32.611349570404464,15.485467584671895,54.55310967832622,24.960010599544272,0.8422851581637474,0.08021017132557601
TOW213,24.83691972518523,1.0241571990347291,53.61629791074811,8.800620807285197,0.7562056620339167,0.034500358933355346
TOW216,30.558748936853203,16.521466009677184,56.186252870501896,26.359578140673747,0.7956639510471019,0.10384442504910626
TOW218,33.119359544468466,15.260215688783983,55.92704816968513,25.665124817758677,0.8358351200537083,0.08416947004512942
TOW224,33.90104556297886,14.803067569526275,75.18925660659328,35.37208236129588,0.8674018507615607,0.06810132216066155
TOW239,21.282568770536038,2.1793668261292605,68.95000511215672,3.4951285054043444,0.713820913646042,0.025773311742812468
TOW246,26.118675055075816,1.5125703828996224,57.149609315814395,5.961489684547358,0.808354763699126,0.016984601207861265
TOW247,20.43227270320122,2.0173449762674127,70.6031249038234,5.512937575560841,0.6036932983403177,0.03643023890868798
TOW248,31.64064200604325,16.0470688034667,52.13542348040956,23.800890497935477,0.828093032049986,0.08848769279756835
TOW251,33.297672382706615,15.120434758607985,48.361274251302085,22.661702061073903,0.8327071095413526,0.08505057603038124
TOW254,33.343040539951396,15.105912752922132,52.59667528557055,25.342752893832177,0.8150222615822661,0.09747078666383996
TOW257,31.300030156402357,16.178642433203297,55.77738603071733,25.54997368582557,0.82779187830935,0.08817687363796642
TOW259,34.60203526211236,14.481254139745827,44.71282674893466,20.832212184814892,0.8619754886143326,0.07068397017925548
TOW_VOL12,30.663528167201157,16.528937482506922,14.240334835168087,4.805940958832595,0.6153813481407319,0.1945762305491245
TOW_VOL13,34.47695439693418,14.54928408403654,59.72555996981534,27.599672738893265,0.8507033756568152,0.07727455135820988
TOW_VOL14,25.089787525506228,0.9149785128574784,75.8435557306463,8.534045495865579,0.77240479877964,0.020590508369691913
TOW_VOL15,28.582474166665172,17.51041594159559,58.88470277728457,27.286785588568907,0.7457714736098032,0.12886512456210109
